Trial,Stimulus,StimType,StimCategory
1,ba_redu_face.avi,oddball,AV
2,ba_redu_face.avi,oddball,AV
3,ba_redu_face.avi,oddball,AV
4,ba_redu_face.avi,oddball,AV
5,ba_redu_face.avi,oddball,AV
6,ba_redu_face.avi,oddball,AV
7,ba_redu_face.avi,oddball,AV
8,ba_redu_face.avi,oddball,AV
9,ba_redu_face.avi,oddball,AV
10,ba_redu_face.avi,oddball,AV
11,ba_redu_face.avi,oddball,AV
12,ba_redu_face.avi,oddball,AV
13,ba_redu_face.avi,oddball,AV
14,ba_redu_face.avi,oddball,AV
15,ba_redu_face.avi,oddball,AV
16,ba_redu_face.avi,oddball,AV
17,ba_redu_face.avi,oddball,AV
18,ba_redu_face.avi,oddball,AV
19,ba_redu_face.avi,oddball,AV
20,ba_redu_face.avi,oddball,AV
21,ba_redu_face.avi,oddball,AV
22,ba_redu_face.avi,oddball,AV
23,ba_redu_face.avi,oddball,AV
24,ba_redu_face.avi,oddball,AV
25,ba_redu_face.avi,oddball,AV
26,ba_redu_face.avi,oddball,AV
27,ba_redu_face.avi,oddball,AV
28,ba_redu_face.avi,oddball,AV
29,ba_redu_face.avi,oddball,AV
30,ba_redu_face.avi,oddball,AV
31,ba_redu_face.avi,oddball,AV
32,ba_redu_face.avi,oddball,AV
33,ba_redu_face.avi,oddball,AV
34,ba_redu_face.avi,oddball,AV
35,ba_redu_face.avi,oddball,AV
36,ba_redu_face.avi,oddball,AV
37,ba_redu_face.avi,oddball,AV
38,ba_redu_face.avi,oddball,AV
39,ba_redu_face.avi,oddball,AV
40,ba_redu_face.avi,oddball,AV
41,ba_redu_face.avi,oddball,AV
42,ba_redu_face.avi,oddball,AV
43,ba_redu_face.avi,oddball,AV
44,ba_redu_face.avi,oddball,AV
45,ba_redu_face.avi,oddball,AV
46,ba_redu_face.avi,oddball,AV
47,ba_redu_face.avi,oddball,AV
48,ba_redu_face.avi,oddball,AV
49,ba_redu_face.avi,oddball,AV
50,ba_redu_face.avi,oddball,AV
51,ba_base_face.avi,standard,AV
52,ba_base_face.avi,standard,AV
53,ba_base_face.avi,standard,AV
54,ba_base_face.avi,standard,AV
55,ba_base_face.avi,standard,AV
56,ba_base_face.avi,standard,AV
57,ba_base_face.avi,standard,AV
58,ba_base_face.avi,standard,AV
59,ba_base_face.avi,standard,AV
60,ba_base_face.avi,standard,AV
61,ba_base_face.avi,standard,AV
62,ba_base_face.avi,standard,AV
63,ba_base_face.avi,standard,AV
64,ba_base_face.avi,standard,AV
65,ba_base_face.avi,standard,AV
66,ba_base_face.avi,standard,AV
67,ba_base_face.avi,standard,AV
68,ba_base_face.avi,standard,AV
69,ba_base_face.avi,standard,AV
70,ba_base_face.avi,standard,AV
71,ba_base_face.avi,standard,AV
72,ba_base_face.avi,standard,AV
73,ba_base_face.avi,standard,AV
74,ba_base_face.avi,standard,AV
75,ba_base_face.avi,standard,AV
76,ba_base_face.avi,standard,AV
77,ba_base_face.avi,standard,AV
78,ba_base_face.avi,standard,AV
79,ba_base_face.avi,standard,AV
80,ba_base_face.avi,standard,AV
81,ba_base_face.avi,standard,AV
82,ba_base_face.avi,standard,AV
83,ba_base_face.avi,standard,AV
84,ba_base_face.avi,standard,AV
85,ba_base_face.avi,standard,AV
86,ba_base_face.avi,standard,AV
87,ba_base_face.avi,standard,AV
88,ba_base_face.avi,standard,AV
89,ba_base_face.avi,standard,AV
90,ba_base_face.avi,standard,AV
91,ba_base_face.avi,standard,AV
92,ba_base_face.avi,standard,AV
93,ba_base_face.avi,standard,AV
94,ba_base_face.avi,standard,AV
95,ba_base_face.avi,standard,AV
96,ba_base_face.avi,standard,AV
97,ba_base_face.avi,standard,AV
98,ba_base_face.avi,standard,AV
99,ba_base_face.avi,standard,AV
100,ba_base_face.avi,standard,AV
