Trial,Stimulus,StimType
1,ba_redu_face.avi,oddball
2,ba_redu_face.avi,oddball
3,ba_redu_face.avi,oddball
4,ba_redu_face.avi,oddball
5,ba_redu_face.avi,oddball
6,ba_redu_face.avi,oddball
7,ba_redu_face.avi,oddball
8,ba_redu_face.avi,oddball
9,ba_redu_face.avi,oddball
10,ba_base_face.avi,standard
11,ba_base_face.avi,standard
12,ba_base_face.avi,standard
13,ba_base_face.avi,standard
14,ba_base_face.avi,standard
15,ba_base_face.avi,standard
16,ba_base_face.avi,standard
17,ba_base_face.avi,standard
18,ba_base_face.avi,standard
19,ba_redu_pl.avi,oddball
20,ba_redu_pl.avi,oddball
21,ba_redu_pl.avi,oddball
22,ba_redu_pl.avi,oddball
23,ba_redu_pl.avi,oddball
24,ba_redu_pl.avi,oddball
25,ba_redu_pl.avi,oddball
26,ba_redu_pl.avi,oddball
27,ba_redu_pl.avi,oddball
28,ba_base_pl.avi,standard
29,ba_base_pl.avi,standard
30,ba_base_pl.avi,standard
31,ba_base_pl.avi,standard
32,ba_base_pl.avi,standard
33,ba_base_pl.avi,standard
34,ba_base_pl.avi,standard
35,ba_base_pl.avi,standard
36,ba_base_pl.avi,standard
37,ba_redu_pix.avi,oddball
38,ba_redu_pix.avi,oddball
39,ba_redu_pix.avi,oddball
40,ba_redu_pix.avi,oddball
41,ba_redu_pix.avi,oddball
42,ba_redu_pix.avi,oddball
43,ba_redu_pix.avi,oddball
44,ba_redu_pix.avi,oddball
45,ba_redu_pix.avi,oddball
46,ba_base_pix.avi,standard
47,ba_base_pix.avi,standard
48,ba_base_pix.avi,standard
49,ba_base_pix.avi,standard
50,ba_base_pix.avi,standard
51,ba_base_pix.avi,standard
52,ba_base_pix.avi,standard
53,ba_base_pix.avi,standard
54,ba_base_pix.avi,standard
